DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,d2h1 (accuracy+precision+recall+f1),d2h2 (aod+eod+spd+di+fr)
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",1.3222160339355469,"{'la__n_estimators': 96, 'la__min_samples_leaf': 5, 'la__min_impurity_decrease': 0.0038259381843343673, 'la__max_depth': 9, 'la__criterion': 'entropy'}",-0.7992387356282691,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",1.7701315879821777,"{'la__n_estimators': 96, 'la__min_samples_leaf': 5, 'la__min_impurity_decrease': 0.0038259381843343673, 'la__max_depth': 9, 'la__criterion': 'entropy'}",-0.9013878216481542,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",0.6223688125610352,"{'la__criterion': 'gini', 'la__max_depth': 10, 'la__min_impurity_decrease': 1e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 130}",-0.9013878216481542,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",0.4618802070617676,"{'la__criterion': 'gini', 'la__max_depth': 10, 'la__min_impurity_decrease': 1e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 130}",-0.7992387356282691,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",0.35878968238830566,"{'la__n_estimators': 92, 'la__criterion': 'entropy', 'la__min_samples_leaf': 19, 'la__min_impurity_decrease': 0.007213466552399035, 'la__max_depth': 12}",-0.7992387356282691,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",0.9611315727233887,"{'la__n_estimators': 92, 'la__criterion': 'entropy', 'la__min_samples_leaf': 19, 'la__min_impurity_decrease': 0.007213466552399035, 'la__max_depth': 12}",-0.9013878216481542,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",0.177734375,"{'la__n_estimators': 106, 'la__criterion': 'entropy', 'la__min_samples_leaf': 14, 'la__min_impurity_decrease': 0.0007406505880141988, 'la__max_depth': 13}",-0.7992387356282691,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",0.3940150737762451,"{'la__n_estimators': 106, 'la__criterion': 'entropy', 'la__min_samples_leaf': 14, 'la__min_impurity_decrease': 0.0007406505880141988, 'la__max_depth': 13}",-0.9013878216481542,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",4.205903768539429,"{'la__n_estimators': 146, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.01719189091730756, 'la__max_depth': 8}",-0.9013878216481542,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,0,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",1.4331450462341309,"{'la__n_estimators': 146, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.01719189091730756, 'la__max_depth': 8}",-0.7992387356282691,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",3.05403470993042,"{'la__n_estimators': 141, 'la__min_samples_leaf': 4, 'la__min_impurity_decrease': 0.03179786674892131, 'la__max_depth': 9, 'la__criterion': 'entropy'}",-0.7993301406202299,-0.4673153879009996
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",0.2570340633392334,"{'la__n_estimators': 141, 'la__min_samples_leaf': 4, 'la__min_impurity_decrease': 0.03179786674892131, 'la__max_depth': 9, 'la__criterion': 'entropy'}",-0.7992375735277328,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",0.955193281173706,"{'la__criterion': 'entropy', 'la__max_depth': 12, 'la__min_impurity_decrease': 3.1622776601683795e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 30}",-0.7992838569452763,-0.4673153879009996
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",0.5419394969940186,"{'la__criterion': 'entropy', 'la__max_depth': 12, 'la__min_impurity_decrease': 3.1622776601683795e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 30}",-0.9013878247214187,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",0.21516728401184082,"{'la__criterion': 'entropy', 'la__max_depth': 12, 'la__min_impurity_decrease': 3.1622776601683795e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 30}",-0.7992375735277328,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",0.9499943256378174,"{'la__n_estimators': 191, 'la__criterion': 'entropy', 'la__min_samples_leaf': 18, 'la__min_impurity_decrease': 0.02071549620201228, 'la__max_depth': 8}",-0.7992838569452763,-0.4673153879009996
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",1.5828356742858887,"{'la__n_estimators': 191, 'la__criterion': 'entropy', 'la__min_samples_leaf': 18, 'la__min_impurity_decrease': 0.02071549620201228, 'la__max_depth': 8}",-0.9013878247214187,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",0.9214189052581787,"{'la__n_estimators': 191, 'la__criterion': 'entropy', 'la__min_samples_leaf': 18, 'la__min_impurity_decrease': 0.02071549620201228, 'la__max_depth': 8}",-0.7992375735277328,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",1.4453721046447754,"{'la__n_estimators': 61, 'la__criterion': 'gini', 'la__min_samples_leaf': 7, 'la__min_impurity_decrease': 0.027792092095201174, 'la__max_depth': 10}",-0.9013878247214187,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",0.1966571807861328,"{'la__n_estimators': 61, 'la__criterion': 'gini', 'la__min_samples_leaf': 7, 'la__min_impurity_decrease': 0.027792092095201174, 'la__max_depth': 10}",-0.7992375735277328,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",0.3172135353088379,"{'la__n_estimators': 87, 'la__criterion': 'entropy', 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.031046946857601215, 'la__max_depth': 18}",-0.7992375735277328,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,1,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",0.3134150505065918,"{'la__n_estimators': 87, 'la__criterion': 'entropy', 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.031046946857601215, 'la__max_depth': 18}",-0.9013878247214187,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,2,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",1.4803106784820557,"{'la__n_estimators': 194, 'la__min_samples_leaf': 7, 'la__min_impurity_decrease': 0.03055917201791432, 'la__max_depth': 1, 'la__criterion': 'entropy'}",-0.901387821716847,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,2,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",2.562680244445801,"{'la__n_estimators': 194, 'la__min_samples_leaf': 7, 'la__min_impurity_decrease': 0.03055917201791432, 'la__max_depth': 1, 'la__criterion': 'entropy'}",-0.7992838539407047,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,2,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",1.1520581245422363,"{'la__criterion': 'gini', 'la__max_depth': 18, 'la__min_impurity_decrease': 3.1622776601683795e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 130}",-0.7992838539407047,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,2,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",1.0059998035430908,"{'la__criterion': 'gini', 'la__max_depth': 18, 'la__min_impurity_decrease': 3.1622776601683795e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 130}",-0.901387821716847,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,2,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",0.5136620998382568,"{'la__n_estimators': 57, 'la__criterion': 'entropy', 'la__min_samples_leaf': 19, 'la__min_impurity_decrease': 0.044790500766703295, 'la__max_depth': 8}",-0.7992838539407047,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,2,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",1.448861837387085,"{'la__n_estimators': 57, 'la__criterion': 'entropy', 'la__min_samples_leaf': 19, 'la__min_impurity_decrease': 0.044790500766703295, 'la__max_depth': 8}",-0.901387821716847,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,2,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",1.6738245487213135,"{'la__n_estimators': 134, 'la__criterion': 'entropy', 'la__min_samples_leaf': 3, 'la__min_impurity_decrease': 0.038569379986068776, 'la__max_depth': 17}",-0.7992838539407047,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,2,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",1.4670071601867676,"{'la__n_estimators': 134, 'la__criterion': 'entropy', 'la__min_samples_leaf': 3, 'la__min_impurity_decrease': 0.038569379986068776, 'la__max_depth': 17}",-0.901387821716847,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,2,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",1.330932855606079,"{'la__n_estimators': 57, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2707888379699299, 'la__max_depth': 10}",-0.7992838539407047,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,2,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",1.424262523651123,"{'la__n_estimators': 57, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2707888379699299, 'la__max_depth': 10}",-0.7993295260316702,-0.4673153879009996
fairness/compas-scores-two-years_processed.csv,2,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",0.4392983913421631,"{'la__n_estimators': 57, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2707888379699299, 'la__max_depth': 10}",-0.7992838539407047,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",1.0959548950195312,"{'la__n_estimators': 149, 'la__min_samples_leaf': 5, 'la__min_impurity_decrease': 0.055708382676648564, 'la__max_depth': 5, 'la__criterion': 'entropy'}",-0.6971343460983793,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",0.41431355476379395,"{'la__n_estimators': 149, 'la__min_samples_leaf': 5, 'la__min_impurity_decrease': 0.055708382676648564, 'la__max_depth': 5, 'la__criterion': 'entropy'}",-0.9013878245355441,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",1.6864657402038574,"{'la__criterion': 'gini', 'la__max_depth': 14, 'la__min_impurity_decrease': 1e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 180}",-0.7993293998935208,-0.4673153879009996
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",0.49509239196777344,"{'la__criterion': 'gini', 'la__max_depth': 14, 'la__min_impurity_decrease': 1e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 180}",-0.9013878245355441,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",0.6548349857330322,"{'la__criterion': 'gini', 'la__max_depth': 14, 'la__min_impurity_decrease': 1e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 180}",-0.7992383138745216,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",0.978074312210083,"{'la__n_estimators': 178, 'la__criterion': 'entropy', 'la__min_samples_leaf': 15, 'la__min_impurity_decrease': 0.05266514109949061, 'la__max_depth': 20}",-0.7992383138745216,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",0.3256552219390869,"{'la__n_estimators': 178, 'la__criterion': 'entropy', 'la__min_samples_leaf': 15, 'la__min_impurity_decrease': 0.05266514109949061, 'la__max_depth': 20}",-0.9013878245355441,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",1.2192344665527344,"{'la__n_estimators': 72, 'la__criterion': 'gini', 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.03417448070086623, 'la__max_depth': 3}",-0.7993293998935208,-0.4673153879009996
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",1.0253262519836426,"{'la__n_estimators': 72, 'la__criterion': 'gini', 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.03417448070086623, 'la__max_depth': 3}",-0.9013878245355441,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",0.5700719356536865,"{'la__n_estimators': 72, 'la__criterion': 'gini', 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.03417448070086623, 'la__max_depth': 3}",-0.7992383138745216,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",1.8832762241363525,"{'la__n_estimators': 28, 'la__criterion': 'entropy', 'la__min_samples_leaf': 8, 'la__min_impurity_decrease': 0.04179070177066324, 'la__max_depth': 2}",-0.7992838567594018,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",1.0208103656768799,"{'la__n_estimators': 28, 'la__criterion': 'entropy', 'la__min_samples_leaf': 8, 'la__min_impurity_decrease': 0.04179070177066324, 'la__max_depth': 2}",-0.7992383138745216,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,3,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",1.6395280361175537,"{'la__n_estimators': 28, 'la__criterion': 'entropy', 'la__min_samples_leaf': 8, 'la__min_impurity_decrease': 0.04179070177066324, 'la__max_depth': 2}",-0.7993293998935208,-0.4673153879009996
fairness/compas-scores-two-years_processed.csv,4,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",2.301286220550537,"{'la__n_estimators': 147, 'la__min_samples_leaf': 18, 'la__min_impurity_decrease': 0.04394924436926463, 'la__max_depth': 7, 'la__criterion': 'entropy'}",-0.7993291412857261,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,4,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",1.9459083080291748,"{'la__n_estimators': 147, 'la__min_samples_leaf': 18, 'la__min_impurity_decrease': 0.04394924436926463, 'la__max_depth': 7, 'la__criterion': 'entropy'}",-0.7992385667464841,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,4,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",1.0163142681121826,"{'la__criterion': 'entropy', 'la__max_depth': 13, 'la__min_impurity_decrease': 3.1622776601683795e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 120}",-0.9013878216690238,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,4,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",1.3756749629974365,"{'la__criterion': 'entropy', 'la__max_depth': 13, 'la__min_impurity_decrease': 3.1622776601683795e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 120}",-0.7992385667464841,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,4,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",0.29198718070983887,"{'la__n_estimators': 69, 'la__criterion': 'gini', 'la__min_samples_leaf': 20, 'la__min_impurity_decrease': 0.005872167971490224, 'la__max_depth': 19}",-0.9013878216690238,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,4,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",0.8969781398773193,"{'la__n_estimators': 69, 'la__criterion': 'gini', 'la__min_samples_leaf': 20, 'la__min_impurity_decrease': 0.005872167971490224, 'la__max_depth': 19}",-0.7992385667464841,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,4,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",0.6201834678649902,"{'la__n_estimators': 81, 'la__criterion': 'entropy', 'la__min_samples_leaf': 9, 'la__min_impurity_decrease': 0.001968837057678672, 'la__max_depth': 10}",-0.9013878216690238,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,4,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",1.1028599739074707,"{'la__n_estimators': 81, 'la__criterion': 'entropy', 'la__min_samples_leaf': 9, 'la__min_impurity_decrease': 0.001968837057678672, 'la__max_depth': 10}",-0.7992385667464841,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,4,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",1.390817403793335,"{'la__n_estimators': 31, 'la__criterion': 'gini', 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.010393335088671487, 'la__max_depth': 8}",-0.9013878216690238,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,4,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",0.4063606262207031,"{'la__n_estimators': 31, 'la__criterion': 'gini', 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.010393335088671487, 'la__max_depth': 8}",-0.7992385667464841,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",1.0344245433807373,"{'la__n_estimators': 173, 'la__min_samples_leaf': 18, 'la__min_impurity_decrease': 0.004145766892594429, 'la__max_depth': 13, 'la__criterion': 'entropy'}",-0.7992838539623531,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",0.6635251045227051,"{'la__n_estimators': 173, 'la__min_samples_leaf': 18, 'la__min_impurity_decrease': 0.004145766892594429, 'la__max_depth': 13, 'la__criterion': 'entropy'}",-0.9013878217384954,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",0.38483333587646484,"{'la__criterion': 'entropy', 'la__max_depth': 16, 'la__min_impurity_decrease': 1e-05, 'la__min_samples_leaf': 2, 'la__n_estimators': 120}",-0.799329699136094,-0.4673153879009996
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",0.5463900566101074,"{'la__criterion': 'entropy', 'la__max_depth': 16, 'la__min_impurity_decrease': 1e-05, 'la__min_samples_leaf': 2, 'la__n_estimators': 120}",-0.9013878217384954,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",0.4667186737060547,"{'la__criterion': 'entropy', 'la__max_depth': 16, 'la__min_impurity_decrease': 1e-05, 'la__min_samples_leaf': 2, 'la__n_estimators': 120}",-0.7992838539623531,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",0.7161898612976074,"{'la__n_estimators': 128, 'la__criterion': 'entropy', 'la__min_samples_leaf': 3, 'la__min_impurity_decrease': 0.048665896261753654, 'la__max_depth': 17}",-0.6983248667298084,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",1.0666389465332031,"{'la__n_estimators': 128, 'la__criterion': 'entropy', 'la__min_samples_leaf': 3, 'la__min_impurity_decrease': 0.048665896261753654, 'la__max_depth': 17}",-0.7992838539623531,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",1.0880494117736816,"{'la__n_estimators': 128, 'la__criterion': 'entropy', 'la__min_samples_leaf': 3, 'la__min_impurity_decrease': 0.048665896261753654, 'la__max_depth': 17}",-0.9013878217384954,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",0.6952219009399414,"{'la__n_estimators': 20, 'la__criterion': 'entropy', 'la__min_samples_leaf': 10, 'la__min_impurity_decrease': 0.0528447460417017, 'la__max_depth': 14}",-0.9013878217384954,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",0.6176316738128662,"{'la__n_estimators': 20, 'la__criterion': 'entropy', 'la__min_samples_leaf': 10, 'la__min_impurity_decrease': 0.0528447460417017, 'la__max_depth': 14}",-0.7992838539623531,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",1.1053647994995117,"{'la__n_estimators': 139, 'la__criterion': 'entropy', 'la__min_samples_leaf': 4, 'la__min_impurity_decrease': 0.056731888081468444, 'la__max_depth': 9}",-0.799329699136094,-0.4673153879009996
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",0.34519004821777344,"{'la__n_estimators': 139, 'la__criterion': 'entropy', 'la__min_samples_leaf': 4, 'la__min_impurity_decrease': 0.056731888081468444, 'la__max_depth': 9}",-0.9013878217384954,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,5,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",1.1299126148223877,"{'la__n_estimators': 139, 'la__criterion': 'entropy', 'la__min_samples_leaf': 4, 'la__min_impurity_decrease': 0.056731888081468444, 'la__max_depth': 9}",-0.7992838539623531,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,6,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",1.2415571212768555,"{'la__n_estimators': 63, 'la__min_samples_leaf': 19, 'la__min_impurity_decrease': 0.060059323947427766, 'la__max_depth': 6, 'la__criterion': 'entropy'}",-0.6971798865049351,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,6,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",2.728653907775879,"{'la__n_estimators': 63, 'la__min_samples_leaf': 19, 'la__min_impurity_decrease': 0.060059323947427766, 'la__max_depth': 6, 'la__criterion': 'entropy'}",-0.7993301820100516,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,6,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",0.7979543209075928,"{'la__n_estimators': 63, 'la__min_samples_leaf': 19, 'la__min_impurity_decrease': 0.060059323947427766, 'la__max_depth': 6, 'la__criterion': 'entropy'}",-0.9013878217993166,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,6,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",0.4509084224700928,"{'la__criterion': 'entropy', 'la__max_depth': 16, 'la__min_impurity_decrease': 1e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 130}",-0.9013878217993166,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,6,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",1.0528340339660645,"{'la__criterion': 'entropy', 'la__max_depth': 16, 'la__min_impurity_decrease': 1e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 130}",-0.7993301820100516,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,6,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",0.5330097675323486,"{'la__n_estimators': 83, 'la__criterion': 'gini', 'la__min_samples_leaf': 12, 'la__min_impurity_decrease': 0.011550271014114788, 'la__max_depth': 17}",-0.7993301820100516,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,6,fairsmote,minmax,none,rf,nsga-ii,"['d2h1', 'd2h2']",0.6035017967224121,"{'la__n_estimators': 83, 'la__criterion': 'gini', 'la__min_samples_leaf': 12, 'la__min_impurity_decrease': 0.011550271014114788, 'la__max_depth': 17}",-0.9013878217993166,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,6,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",0.4434635639190674,"{'la__n_estimators': 76, 'la__criterion': 'gini', 'la__min_samples_leaf': 9, 'la__min_impurity_decrease': 0.03760209563006451, 'la__max_depth': 8}",-0.9013878217993166,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,6,fairsmote,minmax,none,rf,nsga-iii,"['d2h1', 'd2h2']",0.36441707611083984,"{'la__n_estimators': 76, 'la__criterion': 'gini', 'la__min_samples_leaf': 9, 'la__min_impurity_decrease': 0.03760209563006451, 'la__max_depth': 8}",-0.7993301820100516,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,6,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",0.645488977432251,"{'la__n_estimators': 182, 'la__criterion': 'entropy', 'la__min_samples_leaf': 18, 'la__min_impurity_decrease': 0.02975374536015985, 'la__max_depth': 5}",-0.7993301820100516,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,6,fairsmote,minmax,none,rf,moead,"['d2h1', 'd2h2']",0.6119911670684814,"{'la__n_estimators': 182, 'la__criterion': 'entropy', 'la__min_samples_leaf': 18, 'la__min_impurity_decrease': 0.02975374536015985, 'la__max_depth': 5}",-0.9013878217993166,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,7,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",1.9462745189666748,"{'la__n_estimators': 98, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.03933062994525348, 'la__max_depth': 10, 'la__criterion': 'entropy'}",-0.7993291017337049,-0.5737047019066931
fairness/compas-scores-two-years_processed.csv,7,fairsmote,minmax,none,rf,random search,"['d2h1', 'd2h2']",0.21958613395690918,"{'la__n_estimators': 98, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.03933062994525348, 'la__max_depth': 10, 'la__criterion': 'entropy'}",-0.9013878244615714,-0.5567581070009912
fairness/compas-scores-two-years_processed.csv,7,fairsmote,minmax,none,rf,tpe,"['d2h1', 'd2h2']",0.20923399925231934,"{'la__criterion': 'entropy', 'la__max_depth': 15, 'la__min_impurity_decrease': 3.1622776601683795e-05, 'la__min_samples_leaf': 1, 'la__n_estimators': 50}",-0.7993291017337049,-0.5737047019066931
